Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2018-2019,Giannis Antetokounmpo,East,24-Dec-18,Milwaukee Bucks,F,11-Jun,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Paul George,West,24-Dec-18,Oklahoma City Thunder,GF,9-Jun,220,28,Fresno State,2010,8
2018-2019,Thaddeus Young,East,17-Dec-18,Indiana Pacers,F,8-Jun,221,30,Georgia Tech,2007,11
2018-2019,James Harden,West,17-Dec-18,Houston Rockets,SG,5-Jun,220,29,Arizona State,2009,9
2018-2019,Bradley Beal,East,10-Dec-18,Washington Wizards,SG,5-Jun,207,25,Florida,2012,6
2018-2019,Stephen Curry,West,10-Dec-18,Golden State Warriors,G,3-Jun,190,30,Davidson,2009,9
2018-2019,Kawhi Leonard,East,3-Dec-18,Toronto Raptors,F,7-Jun,230,27,San Diego State,2011,7
2018-2019,Paul Millsap,West,3-Dec-18,Denver Nuggets,FC,8-Jun,246,34,Louisiana Tech,2006,12
2018-2019,Giannis Antetokounmpo,East,26-Nov-18,Milwaukee Bucks,F,11-Jun,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Tobias Harris,West,26-Nov-18,Los Angeles Clippers,F,9-Jun,235,26,Tennessee,2011,7
2018-2019,Nikola Vucevic,East,19-Nov-18,Orlando Magic,PF,Jul-00,260,28,USC,2011,7
2018-2019,Anthony Davis,West,19-Nov-18,New Orleans Pelicans,PF,10-Jun,253,25,Kentucky,2012,6
2018-2019,Pascal Siakam,East,12-Nov-18,Toronto Raptors,F,9-Jun,230,25,New Mexico State,2016,2
2018-2019,C.J. McCollum,West,12-Nov-18,Portland Trail Blazers,G,3-Jun,190,27,Lehigh,2013,5
2018-2019,Victor Oladipo,East,5-Nov-18,Indiana Pacers,G,4-Jun,210,26,Indiana,2013,5
2018-2019,Russell Westbrook,West,5-Nov-18,Oklahoma City Thunder,G,3-Jun,200,30,UCLA,2008,10
2018-2019,Giannis Antetokounmpo,East,29-Oct-18,Milwaukee Bucks,F,11-Jun,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Stephen Curry,West,29-Oct-18,Golden State Warriors,G,3-Jun,190,30,Davidson,2009,9
2018-2019,Kemba Walker,East,22-Oct-18,Charlotte Hornets,G,1-Jun,184,28,Connecticut,2011,7
2018-2019,Nikola Jokic,West,22-Oct-18,Denver Nuggets,C,Jul-00,250,24,KK Mega Bemax (Serbia),2014,3
2017-2018,Ben Simmons,East,9-Apr-18,Philadelphia Sixers,PF,10-Jun,230,21,LSU,2016,1
2017-2018,Nikola Jokic,West,9-Apr-18,Denver Nuggets,C,Jul-00,250,23,KK Mega Bemax (Serbia),2014,2
2017-2018,Victor Oladipo,East,2-Apr-18,Indiana Pacers,G,4-Jun,210,25,Indiana,2013,4
2017-2018,Damian Lillard,West,2-Apr-18,Portland Trail Blazers,G,3-Jun,195,27,Weber State,2012,5
2017-2018,LeBron James,East,26-Mar-18,Cleveland Cavaliers,F,8-Jun,250,33,St. Vincent St. Mary High School (Ohio),2003,14
2017-2018,LaMarcus Aldridge,West,26-Mar-18,San Antonio Spurs,FC,11-Jun,260,32,Texas,2006,11
2017-2018,LeBron James,East,19-Mar-18,Cleveland Cavaliers,F,8-Jun,250,33,St. Vincent St. Mary High School (Ohio),2003,14
